Gender,Age,Occupation,Purpose_of_Travel,Travel_Frequency,Travel_Class,Flight_Preference,Booking_Mode,Influencing_Factors,Airline_Last_Flown,Price_Sensitivity,Loyalty_Program,Reward_Preference,Schedule_Preference,Inflight_Priority,Purpose_List,business,leisure,family_visit,education,medical,others,indigo,spicejet,vistara,air_india,akasa,airline_count
woman,45-60,homemaker,family visit;,4-6 flights,economy,direct flight only,"third party website (e.g makemytrip, goibibo)","['safety rating', 'punctuality', 'ticket price']",indigo;,somewhat sensitive,no,"['free flights', 'cashback or discount', 'free seat upgrades']",afternoon,"['extra legroom', 'seat comfort', 'in-flight entertainment']",['family_visit'],0,0,1,0,0,0,1,0,0,0,0,1
man,45-60,working professional,others,7-10 flights,economy,no preference,"third party website (e.g makemytrip, goibibo)","['free food', 'safety rating', 'punctuality']",other;,very sensitive,no,['free lounge access'],evening,seat comfort,['others'],1,0,0,0,0,0,0,0,0,1,0,1
man,35-44,business owner,others,7-10 flights,first class,prefer layover for rest/personal reasons,airline website/app,['loyalty programs'],vistara;,very sensitive,yes,"['free seat upgrades', 'free flights', 'priority check-in/boarding']",afternoon,"amenities(e.g charging ports, eye-mask, blankets)",['others'],1,0,0,0,0,0,0,0,1,0,0,1
woman,45-60,government employee,others,7-10 flights,first class,prefer layover for rest/personal reasons,travel agent,['punctuality'],spicejet;,not sensitive,yes,"['free flights', 'cashback or discount']",no preference,cabin crew behavior,['others'],0,1,0,0,0,0,0,1,0,0,0,1
woman,25-34,business owner,business,7-10 flights,business,direct flight only,corporate booking portal,['safety rating'],other;,very sensitive,no,['free flights'],early morning,seat comfort,['business'],1,0,0,0,0,0,1,0,0,0,0,1
man,25-34,working professional,business,4-6 flights,business,prefer layover for rest/personal reasons,airline website/app,['safety rating'],other;,very sensitive,no,"['free flights', 'free seat upgrades']",early morning,seat comfort,['business'],1,0,0,0,0,0,0,0,0,1,0,1
woman,19-24,student,others,1 flight,economy,direct flight only,travel agent,"['brand reputation', 'safety rating', 'punctuality']",indigo;,not sensitive,yes,['free flights'],afternoon,cabin crew behavior,['others'],0,0,0,1,0,0,1,0,0,0,0,1
woman,45-60,working professional,others,4-6 flights,first class,prefer layover for rest/personal reasons,travel agent,"['in flight service quality', 'ticket price', 'free food']",other;,very sensitive,no,['cashback or discount'],evening,seat comfort,['others'],1,0,0,0,0,0,1,0,0,0,0,1
woman,45-60,government employee,others,4-6 flights,first class,prefer 1-stop if cheaper,corporate booking portal,"['free food', 'ticket price', 'punctuality']",other;,somewhat sensitive,yes,"['cashback or discount', 'free flights']",afternoon,extra baggage facility,['others'],0,1,0,0,0,0,0,1,0,0,0,1
man,45-60,working professional,others,more than 10 flight,economy,prefer 1-stop if cheaper,other,"['in flight service quality', 'brand reputation', 'loyalty programs']",indigo;,somewhat sensitive,yes,"['free lounge access', 'free seat upgrades']",afternoon,extra legroom,['others'],1,0,0,0,0,0,1,0,0,0,0,1
woman,35-44,working professional,others,2-3 flights,first class,direct flight only,other,"['safety rating', 'brand reputation']",spicejet;,not sensitive,yes,['free lounge access'],no preference,seat comfort,['others'],0,1,0,0,0,0,0,1,0,0,0,1
woman,19-24,student,others,7-10 flights,business,direct flight only,airline website/app,"['brand reputation', 'safety rating']",other;,very sensitive,no,['free flights'],late night,"amenities(e.g charging ports, eye-mask, blankets)",['others'],0,0,0,0,0,1,0,0,1,0,0,1
woman,60+,others,others,0 flight,premium economy,prefer layover for rest/personal reasons,"third party website (e.g makemytrip, goibibo)","['loyalty programs', 'ticket price']",other;,very sensitive,no,"['cashback or discount', 'free flights', 'free lounge access']",evening,seat comfort,['others'],0,1,0,0,0,0,0,0,0,1,0,1
man,19-24,student,others,4-6 flights,first class,direct flight only,airline website/app,"['in flight service quality', 'safety rating']",vistara;,not sensitive,yes,['free lounge access'],early morning,cabin crew behavior,['others'],0,0,1,0,0,0,0,0,1,0,0,1
woman,35-44,working professional,business,4-6 flights,first class,prefer 1-stop if cheaper,travel agent,"['loyalty programs', 'safety rating']",other;,very sensitive,no,"['priority check-in/boarding', 'free seat upgrades']",afternoon,in-flight entertainment,['business'],1,0,0,0,0,0,0,1,0,0,0,1
man,45-60,government employee,others,more than 10 flight,economy,direct flight only,corporate booking portal,"['ticket price', 'loyalty programs', 'safety rating']",indigo;,not sensitive,yes,"['cashback or discount', 'free seat upgrades']",late night,cabin crew behavior,['others'],0,0,0,0,0,1,1,0,0,0,0,1
woman,35-44,student,others,4-6 flights,first class,direct flight only,"third party website (e.g makemytrip, goibibo)","['safety rating', 'ticket price', 'in flight service quality']",other;,very sensitive,no,['free lounge access'],no preference,cabin crew behavior,['others'],0,0,0,1,0,0,1,0,0,0,0,1
man,45-60,working professional,others,7-10 flights,economy,prefer 1-stop if cheaper,corporate booking portal,"['ticket price', 'safety rating']",other;,very sensitive,no,"['free seat upgrades', 'cashback or discount', 'free flights']",late night,cabin crew behavior,['others'],0,0,0,0,0,1,1,0,0,0,0,1
man,35-44,working professional,business,4-6 flights,economy,no preference,corporate booking portal,"['ticket price', 'in flight service quality']",other;,very sensitive,no,"['free seat upgrades', 'free lounge access']",early morning,extra baggage facility,['business'],1,0,0,0,0,0,1,0,0,0,0,1
woman,45-60,government employee,others,more than 10 flight,premium economy,prefer layover for rest/personal reasons,travel agent,['in flight service quality'],vistara;,not sensitive,yes,['free lounge access'],afternoon,cabin crew behavior,['others'],0,1,0,0,0,0,0,0,1,0,0,1
man,19-24,student,leisure/vacation,1 flight,economy,direct flight only,airline website/app,"['seat comfort', 'loyalty programs', 'punctuality']",indigo,somewhat sensitive,no,"['extra baggage', 'cashback or discount', 'free lounge access']",late night,"['extra baggage facility', 'seat comfort', 'cabin crew behavior']",['leisure'],0,1,0,0,0,0,1,0,0,0,0,1
man,60+,others,family visit,7-10 flights,business,prefer 1-stop if cheaper,airline website/app,"['safety rating', 'loyalty programs', 'in flight service quality']",other;,very sensitive,no,"['free flights', 'cashback or discount', 'free lounge access']",late night,seat comfort,['family_visit'],0,0,1,0,0,0,1,0,0,0,0,1
man,35-44,business owner,others,2-3 flights,economy,prefer layover for rest/personal reasons,"third party website (e.g makemytrip, goibibo)","['loyalty programs', 'punctuality']",other;,very sensitive,no,"['free flights', 'priority check-in/boarding']",afternoon,in-flight entertainment,['others'],1,0,0,0,0,0,0,0,1,0,0,1
man,35-44,student,others,4-6 flights,first class,prefer 1-stop if cheaper,corporate booking portal,['in flight service quality'],other;,very sensitive,no,['free seat upgrades'],afternoon,cabin crew behavior,['others'],0,1,0,0,0,0,0,0,1,0,0,1
woman,45-60,government employee,others,7-10 flights,economy,no preference,travel agent,"['loyalty programs', 'brand reputation', 'free food']",other;,not sensitive,yes,"['cashback or discount', 'free seat upgrades']",afternoon,seat comfort,['others'],0,0,1,0,0,0,1,0,0,0,0,1
woman,60+,others,others,4-6 flights,first class,prefer layover for rest/personal reasons,corporate booking portal,"['safety rating', 'brand reputation', 'in flight service quality']",other;,very sensitive,no,"['free seat upgrades', 'free flights']",late night,extra baggage facility,['others'],0,0,0,0,0,1,1,0,0,0,0,1
man,45-60,government employee,others,7-10 flights,first class,prefer layover for rest/personal reasons,corporate booking portal,['brand reputation'],other;,very sensitive,yes,"['priority check-in/boarding', 'free seat upgrades', 'free flights']",late night,in-flight entertainment,['others'],0,0,1,0,0,0,1,0,0,0,0,1
woman,60+,others,others,0 flight,economy,direct flight only,"third party website (e.g makemytrip, goibibo)",['ticket price'],vistara;,not sensitive,yes,['free seat upgrades'],evening,cabin crew behavior,['others'],0,1,0,0,1,0,0,0,1,0,0,1
man,35-44,working professional,others,2-3 flights,economy,no preference,"third party website (e.g makemytrip, goibibo)","['free food', 'ticket price']",vistara;,not sensitive,yes,"['free flights', 'cashback or discount', 'priority check-in/boarding']",afternoon,seat comfort,['others'],1,0,0,0,0,0,0,0,1,0,0,1
woman,35-44,working professional,others,2-3 flights,premium economy,prefer layover for rest/personal reasons,corporate booking portal,"['brand reputation', 'punctuality', 'ticket price']",spicejet;,very sensitive,no,"['free seat upgrades', 'free flights', 'priority check-in/boarding']",early morning,extra baggage facility,['others'],0,1,0,0,0,0,0,1,0,0,0,1
man,19-24,student,others,7-10 flights,first class,prefer 1-stop if cheaper,airline website/app,['safety rating'],other;,very sensitive,no,"['free seat upgrades', 'cashback or discount', 'free lounge access']",afternoon,seat comfort,['others'],0,0,0,1,0,0,1,0,0,0,0,1
man,25-34,working professional,business,4-6 flights,business,prefer layover for rest/personal reasons,travel agent,['brand reputation'],indigo;,not sensitive,yes,"['free flights', 'free seat upgrades']",evening,cabin crew behavior,['business'],1,0,0,0,0,0,1,0,0,0,0,1
woman,35-44,business owner,others,1 flight,economy,direct flight only,airline website/app,['safety rating'],indigo;,very sensitive,no,"['cashback or discount', 'priority check-in/boarding']",afternoon,cabin crew behavior,['others'],0,1,0,0,0,0,1,0,0,0,0,1
woman,35-44,working professional,others,2-3 flights,premium economy,direct flight only,corporate booking portal,"['free food', 'punctuality']",indigo;,very sensitive,no,['free seat upgrades'],no preference,cabin crew behavior,['others'],0,1,0,0,0,0,1,0,0,0,0,1
woman,19-24,student,leisure/vacation,0 flight,economy,direct flight only,airline website/app,"['ticket price', 'safety rating', 'free food']",other,very sensitive,no,"['extra baggage', 'cashback or discount', 'priority check-in/boarding']",no preference,"['extra baggage facility', 'seat comfort', 'amenities(e.g charging ports, eye-mask, blankets)']",['leisure'],0,1,0,0,0,0,1,0,0,0,0,1
man,19-24,student,others,7-10 flights,premium economy,direct flight only,airline website/app,"['brand reputation', 'in flight service quality']",vistara;,somewhat sensitive,yes,"['free lounge access', 'free flights', 'cashback or discount']",no preference,seat comfort,['others'],0,0,0,0,0,1,0,0,1,0,0,1
woman,25-34,student,family visit,7-10 flights,business,prefer layover for rest/personal reasons,airline website/app,"['ticket price', 'in flight service quality', 'safety rating']",spicejet;,very sensitive,no,"['free flights', 'priority check-in/boarding']",evening,seat comfort,['family_visit'],0,0,1,0,0,0,0,1,0,0,0,1
man,45-60,government employee,others,1 flight,economy,prefer 1-stop if cheaper,corporate booking portal,['loyalty programs'],spicejet;,very sensitive,no,"['cashback or discount', 'free lounge access']",afternoon,in-flight entertainment,['others'],0,0,1,0,0,0,0,1,0,0,0,1
woman,25-34,working professional,others,4-6 flights,premium economy,no preference,corporate booking portal,"['free food', 'safety rating']",spicejet;,very sensitive,no,"['cashback or discount', 'free seat upgrades', 'free flights']",late night,in-flight entertainment,['others'],0,0,0,0,0,1,0,1,0,0,0,1
man,25-34,working professional,others,4-6 flights,economy,prefer layover for rest/personal reasons,airline website/app,['free food'],spicejet;,very sensitive,no,['free flights'],evening,extra legroom,['others'],1,0,0,0,0,0,0,1,0,0,0,1
woman,19-24,student,others,1 flight,premium economy,prefer layover for rest/personal reasons,"third party website (e.g makemytrip, goibibo)",['punctuality'],spicejet;,very sensitive,no,['priority check-in/boarding'],early morning,cabin crew behavior,['others'],0,1,0,0,0,0,0,1,0,0,0,1
woman,45-60,working professional,others,7-10 flights,first class,prefer layover for rest/personal reasons,travel agent,"['loyalty programs', 'safety rating', 'in flight service quality']",indigo;,not sensitive,yes,"['priority check-in/boarding', 'cashback or discount']",evening,cabin crew behavior,['others'],0,1,0,0,0,0,1,0,0,0,0,1
man,60+,others,others,0 flight,premium economy,prefer layover for rest/personal reasons,corporate booking portal,"['ticket price', 'punctuality', 'loyalty programs']",vistara;,not sensitive,yes,"['priority check-in/boarding', 'free seat upgrades']",evening,seat comfort,['others'],0,1,0,0,1,0,0,0,1,0,0,1
man,19-24,student,family visit;education;,1 flight,economy,direct flight only,"third party website (e.g makemytrip, goibibo)","['ticket price', 'safety rating', 'punctuality']",air india;,very sensitive,no,"['free lounge access', 'extra baggage', 'free flights']",early morning,"['extra legroom', 'extra baggage facility', 'cabin crew behavior']","['family_visit', 'education']",0,0,1,1,0,0,0,0,0,1,0,1
woman,19-24,student,others,0 flight,premium economy,prefer 1-stop if cheaper,travel agent,"['free food', 'loyalty programs', 'punctuality']",other;,very sensitive,no,['cashback or discount'],evening,cabin crew behavior,['others'],0,0,0,0,0,1,0,1,0,0,0,1
woman,25-34,business owner,business,7-10 flights,business,prefer layover for rest/personal reasons,airline website/app,"['loyalty programs', 'brand reputation']",spicejet;,very sensitive,no,['cashback or discount'],late night,in-flight entertainment,['business'],1,0,0,0,0,0,0,1,0,0,0,1
man,35-44,working professional,others,1 flight,economy,no preference,corporate booking portal,['punctuality'],vistara;,not sensitive,yes,"['free lounge access', 'priority check-in/boarding', 'free seat upgrades']",late night,extra legroom,['others'],1,0,0,0,0,0,0,0,1,0,0,1
woman,35-44,business owner,business,1 flight,business,prefer layover for rest/personal reasons,airline website/app,"['loyalty programs', 'brand reputation', 'in flight service quality']",other;,very sensitive,no,['free lounge access'],afternoon,seat comfort,['business'],1,0,0,0,0,0,0,1,0,0,0,1
woman,25-34,working professional,business,4-6 flights,economy,prefer layover for rest/personal reasons,travel agent,"['safety rating', 'in flight service quality']",other;,not sensitive,yes,"['free lounge access', 'free seat upgrades']",afternoon,extra baggage facility,['business'],1,0,0,0,0,0,0,0,0,1,0,1
woman,35-44,working professional,others,2-3 flights,economy,prefer 1-stop if cheaper,airline website/app,['loyalty programs'],spicejet;,very sensitive,no,['free flights'],evening,extra baggage facility,['others'],0,1,0,0,0,0,0,1,0,0,0,1
woman,25-34,working professional,others,2-3 flights,premium economy,prefer layover for rest/personal reasons,other,"['free food', 'in flight service quality', 'loyalty programs']",other;,not sensitive,yes,"['cashback or discount', 'free flights']",early morning,extra baggage facility,['others'],0,0,0,0,0,1,1,0,0,0,0,1
woman,35-44,working professional,others,2-3 flights,economy,direct flight only,travel agent,"['in flight service quality', 'safety rating']",vistara;,very sensitive,no,"['free lounge access', 'priority check-in/boarding', 'free flights']",early morning,extra baggage facility,['others'],0,1,0,0,0,0,0,0,1,0,0,1
woman,19-24,student,education;leisure/vacation,4-6 flights,premium economy,prefer 1-stop if cheaper,"third party website (e.g makemytrip, goibibo)","['safety rating', 'brand reputation', 'in flight service quality']",indigo;other,somewhat sensitive,no,"['cashback or discount', 'free seat upgrades', 'free lounge access']",afternoon,"['seat comfort', 'extra baggage facility', 'amenities(e.g charging ports, eye-mask, blankets)']","['education', 'leisure']",0,1,0,1,0,0,0,0,0,1,0,1
man,35-44,business owner,others,4-6 flights,business,prefer layover for rest/personal reasons,corporate booking portal,"['loyalty programs', 'safety rating']",indigo;,very sensitive,no,"['free lounge access', 'cashback or discount', 'free flights']",early morning,seat comfort,['others'],0,0,0,0,0,1,1,0,0,0,0,1
man,35-44,business owner,others,2-3 flights,economy,direct flight only,corporate booking portal,"['ticket price', 'in flight service quality']",other;,very sensitive,no,['free flights'],evening,extra baggage facility,['others'],0,1,0,0,0,0,1,0,0,0,0,1
woman,60+,others,others,4-6 flights,first class,prefer 1-stop if cheaper,"third party website (e.g makemytrip, goibibo)","['in flight service quality', 'loyalty programs']",other;,not sensitive,yes,['priority check-in/boarding'],late night,cabin crew behavior,['others'],0,1,0,0,0,0,0,1,0,0,0,1
man,19-24,working professional,family visit;others;,7-10 flights,economy,direct flight only,airline website/app,"['ticket price', 'punctuality', 'safety rating']",indigo;,somewhat sensitive,yes,"['cashback or discount', 'free seat upgrades', 'free flights']",no preference,"['amenities(e.g charging ports, eye-mask, blankets)', 'cabin crew behavior', 'seat comfort']","['family_visit', 'others']",1,0,1,0,0,0,1,0,0,0,0,1
man,60+,others,others,7-10 flights,first class,direct flight only,"third party website (e.g makemytrip, goibibo)","['brand reputation', 'in flight service quality']",spicejet;,very sensitive,no,"['cashback or discount', 'free flights', 'priority check-in/boarding']",late night,seat comfort,['others'],0,1,0,0,0,0,0,1,0,0,0,1
man,35-44,working professional,business,7-10 flights,first class,prefer 1-stop if cheaper,"third party website (e.g makemytrip, goibibo)","['in flight service quality', 'punctuality', 'brand reputation']",other;,very sensitive,yes,['free seat upgrades'],afternoon,cabin crew behavior,['business'],1,0,0,0,0,0,0,0,0,1,0,1
man,45-60,government employee,others,7-10 flights,business,no preference,airline website/app,"['safety rating', 'in flight service quality', 'brand reputation']",indigo;,not sensitive,yes,"['free seat upgrades', 'cashback or discount', 'free flights']",late night,extra legroom,['others'],0,0,1,0,0,0,1,0,0,0,0,1
woman,25-34,working professional,leisure/vacation,0 flight,economy,direct flight only,airline website/app,"['ticket price', 'free food', 'seat comfort']",indigo;other,very sensitive,no,"['free seat upgrades', 'extra baggage', 'free flights']",evening,"['extra legroom', 'extra baggage facility', 'seat comfort']",['leisure'],0,1,0,0,0,0,1,0,0,0,0,1
man,25-34,working professional,others,1 flight,first class,direct flight only,corporate booking portal,['safety rating'],indigo;,not sensitive,yes,"['free lounge access', 'cashback or discount', 'free flights']",early morning,extra legroom,['others'],1,0,0,0,0,0,1,0,0,0,0,1
man,45-60,government employee,others,7-10 flights,business,no preference,other,['free food'],other;,very sensitive,no,"['free flights', 'cashback or discount']",afternoon,cabin crew behavior,['others'],0,1,0,0,0,0,0,1,0,0,0,1
woman,25-34,working professional,business,4-6 flights,economy,prefer 1-stop if cheaper,airline website/app,"['safety rating', 'punctuality', 'brand reputation']",other;,not sensitive,yes,"['priority check-in/boarding', 'free seat upgrades']",late night,cabin crew behavior,['business'],1,0,0,0,0,0,0,0,0,1,0,1
man,19-24,student,others,4-6 flights,first class,no preference,corporate booking portal,['punctuality'],spicejet;,very sensitive,no,"['priority check-in/boarding', 'cashback or discount', 'free flights']",early morning,cabin crew behavior,['others'],0,0,1,0,0,0,0,1,0,0,0,1
woman,19-24,student,business,0 flight,premium economy,direct flight only,airline website/app,"['in flight service quality', 'safety rating', 'brand reputation']",spicejet;,very sensitive,no,"['priority check-in/boarding', 'free seat upgrades']",no preference,seat comfort,['business'],1,0,0,0,0,0,0,1,0,0,0,1
man,35-44,business owner,business,4-6 flights,business,prefer 1-stop if cheaper,airline website/app,"['in flight service quality', 'ticket price']",vistara;,not sensitive,yes,['free seat upgrades'],evening,extra baggage facility,['business'],1,0,0,0,0,0,0,0,1,0,0,1
woman,25-34,business owner,others,4-6 flights,first class,prefer 1-stop if cheaper,"third party website (e.g makemytrip, goibibo)","['safety rating', 'brand reputation', 'loyalty programs']",spicejet;,very sensitive,no,['priority check-in/boarding'],evening,seat comfort,['others'],1,0,0,0,0,0,0,1,0,0,0,1
man,19-24,student,family visit,more than 10 flight,economy,no preference,other,"['ticket price', 'safety rating', 'in flight service quality']",other,very sensitive,no,"['free flights', 'free lounge access', 'cashback or discount']",no preference,"['extra legroom', 'seat comfort', 'amenities(e.g charging ports, eye-mask, blankets)']",['family_visit'],0,0,1,0,0,0,1,0,0,0,0,1
man,19-24,student,family visit;education,4-6 flights,economy,direct flight only,airline website/app,"['in flight service quality', 'punctuality', 'brand reputation']",other,not sensitive,no,"['priority check-in/boarding', 'free lounge access', 'free seat upgrades']",evening,"['cabin crew behavior', 'extra legroom', 'seat comfort']","['family_visit', 'education']",0,0,1,1,0,0,1,0,0,0,0,1
woman,25-34,working professional,others,7-10 flights,first class,prefer layover for rest/personal reasons,travel agent,"['loyalty programs', 'free food']",other;,very sensitive,no,['free lounge access'],late night,cabin crew behavior,['others'],0,0,0,0,0,1,0,1,0,0,0,1
woman,60+,others,others,7-10 flights,first class,direct flight only,corporate booking portal,"['loyalty programs', 'in flight service quality']",spicejet;,not sensitive,yes,"['cashback or discount', 'priority check-in/boarding', 'free flights']",late night,seat comfort,['others'],0,0,1,0,1,0,0,1,0,0,0,1
woman,45-60,government employee,leisure/vacation,4-6 flights,first class,prefer layover for rest/personal reasons,"third party website (e.g makemytrip, goibibo)","['brand reputation', 'safety rating']",spicejet;,very sensitive,no,"['free seat upgrades', 'priority check-in/boarding', 'cashback or discount']",no preference,cabin crew behavior,['leisure'],0,1,0,0,0,0,0,1,0,0,0,1
man,35-44,student,others,7-10 flights,first class,no preference,travel agent,['free food'],spicejet;,very sensitive,no,"['priority check-in/boarding', 'free seat upgrades', 'free lounge access']",no preference,"amenities(e.g charging ports, eye-mask, blankets)",['others'],0,0,0,0,0,1,0,1,0,0,0,1
man,45-60,working professional,others,more than 10 flight,premium economy,direct flight only,"third party website (e.g makemytrip, goibibo)","['loyalty programs', 'free food', 'in flight service quality']",spicejet;,not sensitive,yes,['priority check-in/boarding'],no preference,cabin crew behavior,['others'],0,0,0,0,0,1,0,1,0,0,0,1
woman,35-44,working professional,business,4-6 flights,business,prefer layover for rest/personal reasons,corporate booking portal,"['free food', 'brand reputation', 'ticket price']",other;,very sensitive,no,"['free seat upgrades', 'free lounge access', 'priority check-in/boarding']",early morning,seat comfort,['business'],1,0,0,0,0,0,0,1,0,0,0,1
man,45-60,working professional,others,2-3 flights,premium economy,no preference,travel agent,"['ticket price', 'in flight service quality', 'safety rating']",other;,very sensitive,no,"['cashback or discount', 'free seat upgrades']",no preference,cabin crew behavior,['others'],0,1,0,0,0,0,1,0,0,0,0,1
woman,25-34,business owner,business,4-6 flights,business,direct flight only,"third party website (e.g makemytrip, goibibo)","['safety rating', 'ticket price', 'punctuality']",other;,not sensitive,yes,"['priority check-in/boarding', 'free lounge access', 'free seat upgrades']",evening,cabin crew behavior,['business'],1,0,0,0,0,0,0,0,1,0,0,1
man,60+,others,others,0 flight,economy,direct flight only,corporate booking portal,"['brand reputation', 'loyalty programs', 'safety rating']",other;,very sensitive,no,['free seat upgrades'],late night,cabin crew behavior,['others'],0,0,0,0,0,1,0,1,0,0,0,1
man,60+,others,others,7-10 flights,business,direct flight only,other,"['brand reputation', 'punctuality']",indigo;,not sensitive,yes,['priority check-in/boarding'],afternoon,extra legroom,['others'],0,1,0,0,0,0,1,0,0,0,0,1
woman,45-60,government employee,others,4-6 flights,business,no preference,"third party website (e.g makemytrip, goibibo)","['safety rating', 'ticket price']",other;,very sensitive,no,"['free flights', 'cashback or discount']",no preference,extra baggage facility,['others'],0,0,1,0,0,0,1,0,0,0,0,1
woman,45-60,working professional,others,7-10 flights,first class,prefer 1-stop if cheaper,corporate booking portal,"['in flight service quality', 'ticket price']",other;,very sensitive,no,"['free flights', 'cashback or discount']",early morning,seat comfort,['others'],1,0,0,0,0,0,0,0,0,1,0,1
man,35-44,student,others,7-10 flights,first class,prefer layover for rest/personal reasons,"third party website (e.g makemytrip, goibibo)","['loyalty programs', 'punctuality']",indigo;,very sensitive,no,"['free seat upgrades', 'free lounge access']",no preference,cabin crew behavior,['others'],0,1,0,0,0,0,1,0,0,0,0,1
man,25-34,business owner,business,4-6 flights,business,prefer layover for rest/personal reasons,other,"['ticket price', 'loyalty programs']",other;,very sensitive,no,"['cashback or discount', 'free lounge access', 'free seat upgrades']",no preference,seat comfort,['business'],1,0,0,0,0,0,0,1,0,0,0,1
woman,25-34,working professional,business,4-6 flights,premium economy,prefer layover for rest/personal reasons,airline website/app,"['punctuality', 'ticket price']",other;,not sensitive,yes,"['free seat upgrades', 'priority check-in/boarding', 'free lounge access']",late night,seat comfort,['business'],1,0,0,0,0,0,0,0,1,0,0,1
